Species,Country_of_Origin,Avg_Cup_Points
Arabica,Brazil,82.40590909090909
Arabica,Burundi,81.83
Arabica,China,82.9275
Arabica,Colombia,83.10655737704919
Arabica,Costa Rica,82.78901960784312
Arabica,Ecuador,83.83
Arabica,El Salvador,83.05285714285716
Arabica,Ethiopia,85.48409090909091
Arabica,Guatemala,81.84657458563537
Arabica,Haiti,77.17999999999999
Arabica,Honduras,79.35754716981131
Arabica,India,76.83
Arabica,Indonesia,82.56550000000001
Arabica,Ivory Coast,79.33
Arabica,Japan,84.67
Arabica,Kenya,84.3096
Arabica,Laos,81.83333333333333
Arabica,Malawi,81.71181818181817
Arabica,Mauritius,80.5
Arabica,Mexico,80.8900847457627
Arabica,Myanmar,80.75
Arabica,Nicaragua,80.4580769230769
Arabica,Panama,83.7075
Arabica,Papua New Guinea,85.75
Arabica,Peru,82.526
Arabica,Philippines,80.834
Arabica,Rwanda,82.83
Arabica,Taiwan,82.00133333333333
Arabica,Thailand,82.57375
Arabica,Uganda,84.05192307692309
Arabica,United Republic of Tanzania,82.3695
Arabica,United States of America,82.20741176470587
Arabica,Vietnam,82.27428571428571
Arabica,Zambia,81.92
Robusta,Ecuador,78.41499999999999
Robusta,India,81.41
Robusta,Uganda,81.89200000000001
Robusta,United States of America,78.25
Robusta,Vietnam,73.75
